username,full_name,description,is_fake
vonmiller,Von Miller,texas desototx add snapchat millerlite40 sb50vmvp dancing star season 22,False
faktastisch,Faktastisch - Das Original,useless knowledge fact interesting fact amp,False
emilyschuman,Emily Schuman,founder cupcake cashmere,False
cafajestando,Cafajestando,problem isn39t it39s snapdocafa contatocafajestandocom,False
the_salty_blonde,halley elefante,new york born oahu based snapcrap thesaltyblonde,False
oliviaemilyx,Olivia Emily 😸,uk fashion blogger london sometimes manchester uk oliviaoliviaemilycom,False
wonderful_location,TRAVEL & SHARE WITH US,tag wonderfullocation get featured business inquiry email wlocationbusinessgmailcom line wonderfullocation click,False
sarahpour,Sarah Pour,travel lifestyle photographer based cologne germany sarahpouroutlookcom,False
puanindya,Putri Anindya,italy nostalgia machine putrianindya13gmailcom,False
germanroamers,German Roamers,consortium creator showcasing favorite place germany rest world tag weroamgermany hellogermanroamerscom,False
ivankphoto,Ivan Kashinsky,los angeles latin america beyond man panos nat geo,False
evakosmasflores,Eva Kosmas Flores,author photographer gardener workshop secret supper host cookbook adventure chicken workshop ,False
riverviiperi,RIVER VIIPERI,collaborationsrivervcom bookingsnrbmanagementcom belize,False
moasalem,Mohammed Sal,pharmacy student tvpresenter actor youtuber mohammedsal check youtube channel,False
kilianjornet,Kilian Jornet,love mountain take picture,False
deliscake,Elena Tyan,share recipe gastronomic picture astana kazakhstan elenadeliscakegmailcom astana kazakhstan healthy food store,False
love.watts,WATTS,submission inquiry welovewattsgmailcom,False
jacob,J A C O B R I G L I N,director content beautifuldestinations jacobbeautifuldestinationscom new york,False
runnerspace,RunnerSpace.com,latest track fieldxc runnerspacecom runnerspace twitter runnerspacecom,False
nakedplanet,Naked Planet,community ecotravelers share story nakedplanet nakedplanetbizgmailcom,False
rumineely,Rumi Neely,creative director owner areyouami snapchat rumineely next model management,False
tattoodo,Tattoodo,curated collection counter culture featuring world top artist show u tattoodo snap tattoodotv,False
alexandrabring,ALEXANDRA BRING,founder bring sportswear contactalexandrabringse lifestyle food health blog click,False
menwithfootwear,Joerg Nicht // Berlin,menwith aspirational collection casual formal footwear curated menwith team visit web shop,False
uptopquotes,Luxury & Classy Quotes,hi ste italy stefanopulseadvertisingcom,False
andyheart,Ann Kim,art director designer snapchat andyheart,False
flettemamma,Bente-Helen,norwegian mother 4 beautiful girl author two braiding book fletteboka 2014 fletter alle 2015 mailflettemammagmailcom,False
1misssmeis,Sylvie Meis Official Account,tv host let dance rtl germany sbs6 philipssonicare deichmann sylvie mei shoecollection holiday icebelieve owner mei enterprise,False
andreleonardooficial,André Leonardo,singer composer sony music show 12 996588088 listen new playlist spotify,False
myoliemyolie,myoliemyolie,hello mr lee,False
linatesch,Lina Tesch,fashion beauty photographer currently los angeles,False
tarastiles,Tara Stiles,mom daisy new book guiding strala may 23 get copy free guide training,False
beverlyjoubert,Beverly Joubert,awardwinning photographer filmmaker dereckjoubert produce african wildlife conservation documentary image ,False
mjdwarner,Ⓜ️Michael J.D. Warner,thunderreach vip digital service nyc toronto gay bromosexual multilingual fb twitter linkedin snapchat mjdwarner,False
berlinstagram,"Michael Schulz, Berlin",berlin travel whileinbetween helloberlinstagramcom,False
salehalbraik,Saleh Al Braik,location mydubai job dubai tourism owner gravitydxb wakamedubai thinkupgcc snapchat salehalbraik salehalbraikgmailcom,False
realgrumpycat,Grumpy Cat,official instagram grumpy cat world grumpiest cat teamgrumpy,False
missalena.92,Alena Shishkova,cooperation inquiry irina agent 79035990029 ashishkovaprgmailcom,False
zoelaz,zoë☾,go love scottzoelazcom,False
rupikaur_,rupi kaur,poetess author spoken word performer mother milk honey,False
roofusandkilo,Candice,welcome farm misfit 6 rescued dog foster hope make smile roofusandkilogmailcom po box 1207 marcola 97454,False
anddicted,ANDREA TAMBURRINI,content creator storyteller lifestyle food travel milan andyjam anddictedicloudcom new blog post,False
dotzsoh,!hOt dOtz!,live life lve lve life live sony alpha iphone7 dotzsoh2gmailcom influencer travel landscape edit,False
mauricetravelphotos,Travel • Nature • Vacation,travel world cheapest ticket,False
instagrafite,Instagrafite,biggest public art platform world currently sp brasil,False
iconize,Marco Ferrero,web influencer photographer video maker creative mind globe trotter marcoiconizegmailcom managementyourmoodit,False
